timestamp,quantity,price,fee,amount,side,pnl,accumulated_pnl
2024-03-08 04:08,0.0037,95035000,175.81,-351806,0,-351805.31,-2801088.253229999
2024-03-08 04:08,0.02034698,95035000,966.83,-1934642,0,-1934642.0743000002,-4735730.327529999
2024-03-08 04:27,0.05,94682000,2367.05,4731732,1,4731732.95,-3997.3775299992412
2024-03-08 05:33,0.01600681,95162000,761.62,1522478,1,1522478.4332199998,1518481.0556900005
2024-03-08 05:33,0.02924048,95089000,1390.22,-2781839,0,-2781838.22272,-1263357.1670299994
2024-03-08 05:35,0.002,94997000,94.99,189899,1,189899.01,-1073458.1570299994
2024-03-08 05:37,0.00530898,94901000,251.91,-504080,0,-504079.42097999994,-1577537.5780099994
2024-03-08 05:37,0.00050906,94901000,24.15,-48335,0,-48334.45306,-1625872.0310699993
2024-03-08 05:37,0.00814137,94901000,386.31,-773011,0,-773010.4643700001,-2398882.4954399993
2024-03-08 05:37,0.00817389,94901000,387.85,-776099,0,-776098.1848899999,-3174980.680329999
2024-03-08 05:37,0.00068152,94901000,32.33,-64710,0,-64709.25952000001,-3239689.939849999
2024-03-08 05:40,0.00263325,94905000,124.95,-250034,0,-250033.54125000004,-3489723.481099999
2024-03-08 05:54,0.00105347,94921000,49.99,99946,1,99946.43586999999,-3389777.045229999
2024-03-08 05:54,0.05,94831000,2370.77,-4743921,0,-4743920.77,-8133697.815229999
2024-03-08 05:54,0.05,94832000,2370.8,-4743971,0,-4743970.8,-12877668.615229998
2024-03-08 05:55,0.00105347,94908000,49.99,99932,1,99932.74075999999,-12777735.874469997
2024-03-08 05:59,0.0449,94800000,2128.26,4254391,1,4254391.74,-8523344.134469997
2024-03-08 05:59,0.00105485,94800000,49.99,99949,1,99949.79,-8423394.344469998
2024-03-08 05:59,0.02000914,94804000,948.47,1895998,1,1895998.0385600002,-6527396.305909998
2024-03-08 05:59,0.00035595,94804000,16.87,33728,1,33728.6138,-6493667.692109997
2024-03-08 06:08,0.00581065,94331000,274.06,-548399,0,-548398.4851500001,-7042066.177259997
2024-03-08 06:16,0.00105797,94516000,49.99,99945,1,99945.10252,-6942121.074739997
2024-03-08 06:19,0.05,94612000,2365.3,4728234,1,4728234.7,-2213886.374739997
2024-03-08 06:21,0.023,94621000,1088.14,2175194,1,2175194.86,-38691.51473999722
2024-03-08 06:23,0.02540767,94489000,1200.37,-2401946,0,-2401945.7006300003,-2440637.2153699975
2024-03-08 06:23,0.00482483,94490000,227.94,-456127,0,-456126.12669999996,-2896763.3420699975
